user	spName	traffic	times
00089f61	360		3036	3
00089f61	google		8164	4
00089f61	gtimg		7711	3
00089f61	mywtv		10123	1
00089f61	qq		172715	53
00089f61	sina		4545	2
00089f61	sohu		3112	2
00089f61	sonyericsson		1172	1
00089f61	uc		21967	2
00089f61	ucweb		89514	21
00089f61	waptw		24408	2
0009c566	appads		155582	33
0009c566	flurry		2872	1
0009c566	monternet		1254	1
0009c566	people		12599	1
0009c566	sina		26420	3
0009c566	sogou		9733	2
0009c566	uc		56836	12
0009c566	ucweb		98039	9
000bfd46	10010		24763	3
000bfd46	admob		1275	1
000bfd46	baidu		104934	31
000bfd46	flurry		1198	1
000bfd46	google-analytics		11296	6
000bfd46	gtimg		7128	1
000bfd46	qpic		23476	7
000bfd46	qq		453948	126
000bfd46	sogou		2231	1
000bfd46	tencent		29860	7
000bfd46	ttpod		1500	1
000bfd46	umeng		91741	70
000bfd46	ykimg		79702	9
000bfd46	youku		27897	2
000bfd46	zhaopin		1647997	60
00553d4b	apple		68993	10
00553d4b	flurry		5232	3
00553d4b	google-analytics		8349	3
00553d4b	ijinshan		41623	31
00553d4b	umeng		2890	2
007ff681	365rili		55330	23
007ff681	ip138		45496	5
007ff681	moji001		8288	3
007ff681	umeng		28730	20
007ff681	voicecloud		2411	1
01219a51	360		17654	17
01219a51	amazonaws		28464	6
01219a51	easou		231110	8
01219a51	ezjoygame		7572	2
01219a51	google		47499	4
01219a51	google-analytics		41454	2
01219a51	idreamsky		19369	3
01219a51	moji001		105432	24
01219a51	moji002		6272	1
01219a51	puata		48455	2
01219a51	qq		6055	3
01219a51	se-mc		20387	5
01219a51	sonyericsson		3206	2
01219a51	sonymobile		83916	8
01219a51	ttpod		145023	34
01219a51	umeng		29330	21
01219a51	uyunad		13718	5
01219a51	vpon		11178	4
0157a362	qq		566787	83
01684545	91		8639	4
01684545	apple		200809	12
01684545	edgesuite		197106	4
01684545	flurry		3224	2
01684545	itunes		7488	5
01684545	mifan001		9595	1
01684545	mzstatic		364200	23
01684545	sina		20249	3
01684545	sinaimg		18073	3
01684545	umeng		1706	1
01684545	verisign		7886	2
01684545	yahooapis		3913	1
0170d843	admob		2850	2
0170d843	amazonaws		10213	12
0170d843	flurry		8330	5
0170d843	ihandysoft		60012	5
0170d843	qlogo		0	4
0170d843	qq		0	4
01a9947c	91		1798	1
01a9947c	edgesuite		831862	1
01a9947c	itunes		1300	1
01b5648f	apple		3060	1
01bb1997	apple		43302	6
01bb1997	baidu		1808353	232
01bb1997	baidu-2img		152303	19
01bb1997	baidu-3img		7592	1
01bb1997	bdimg		42604	7
01bb1997	edgecastcdn		2833	1
01bb1997	flurry		25562	4
01bb1997	kugou		21670	9
01bb1997	meishichina		8317	1
01bb1997	qlogo		12564	2
01bb1997	qpic		201327	9
01bb1997	qq		956264	76
01bb1997	sina		107383	15
01bb1997	sinaimg		33249	3
01bb1997	soso		149929	18
01bb1997	taobao		218133	92
01bb1997	taobaocdn		193052	12
01bb1997	verisign		5002	1
01bb1997	zbgl		19590	3
01e14fd8	61		51497	35
01e14fd8	flurry		84996	33
01e14fd8	monternet		0	1
01ec8bee	500wan		28218	4
01ec8bee	ucweb		47631	4
01f1c7e8	mobmore		7163	1
01f1c7e8	moji001		9741	6
01f1c7e8	moji002		1592	1
01f1c7e8	mywtv		15522	2
01f1c7e8	myzaker		556095	87
01f1c7e8	qiyi		5302	4
01f1c7e8	qiyipic		16559	2
01f1c7e8	sina		98094	17
01f1c7e8	sinaimg		204954	51
01f1c7e8	ydstatic		41444	1
027e9fc2	baidu		422099	87
027e9fc2	baidu-2img		9779	1
027e9fc2	bdimg		61173	15
027e9fc2	dangdang		2298193	162
027e9fc2	ddimg		7211397	709
027e9fc2	google		2893	1
027e9fc2	gtimg		10772	3
027e9fc2	mafengwoo		1129	1
027e9fc2	monternet		0	1
027e9fc2	qpic		36915	7
027e9fc2	qq		1742039	287
027e9fc2	sina		953232	171
027e9fc2	sinaimg		501291	62
027e9fc2	tianguxx		129369	26
027e9fc2	umeng		13600	8
02a67264	doubleclick		17137	7
02a67264	greystripe		3736	5
02a67264	mobilityware		5419	2
02a67264	transpera		48413	19
02bddb5f	8368piao		1242927	51
02bddb5f	apple		53245	1
02bddb5f	baidu		1128035	65
02bddb5f	baidu-2img		24324	4
02bddb5f	cnzz		28928	7
02bddb5f	doubleclick		10556	2
02bddb5f	googleadsserving		25607	6
02bddb5f	googlesyndication		68465	5
02bddb5f	gtimg		3887	2
02bddb5f	itc		3103	1
02bddb5f	jiathis		61884	5
02bddb5f	jrj		513291	131
02bddb5f	jrjimg		192888	26
02bddb5f	live800		28371	6
02bddb5f	p5w		623857	37
02bddb5f	qlogo		2001700	210
02bddb5f	qpic		2124449	86
02bddb5f	qq		40706	2
02bddb5f	sinajs		65520	21
02bddb5f	stockstar		16277	6
02cb865d	appads		170355	8
02cb865d	apple		19310	13
02cb865d	cloudfront		1594	1
02cb865d	flurry		2092	1
02cb865d	google-analytics		84383	26
02e26e96	apple		10766	2
02e26e96	monternet		760085	5
02e26e96	sina		249661	60
02e26e96	sinaimg		3754	1
02e26e96	verisign		2496	1
0348aa9d	360		42361	1
0348aa9d	51		17394	7
0348aa9d	alimama		41648	8
0348aa9d	apple		53405	1
0348aa9d	baidu		552278	61
0348aa9d	feeyo		2064	1
0348aa9d	gaotie		1952372	137
0348aa9d	taobaocdn		94535	8
0348aa9d	tbcdn		4361	9
035403b8	91		4220	2
035403b8	apple		71402	12
035403b8	edgesuite		3507	1
035403b8	gameloft		92755	17
035403b8	itunes		1377	1
035403b8	qlogo		218340	10
035403b8	qpic		160467	6
035403b8	qq		11427	5
035403b8	sogou		154928	15
035403b8	yahooapis		4064	1
03587fb9	edgesuite		829517	1
